"Viewer Version","2.91"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"Product Type","Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config","SHDLC Device Address: 0"
"Product ID","0x03010101"
"Sensor Serial","0000313239354A51"
"I2C Address","33"
"Supply Voltage","3.5 V"
"Command Address","0x3608"
"Sampling Time [ms]","5"
"Scale Factor Flow lin.","60"
"Scale Factor Temp lin.","200"
"Scale Factor Custom","1"
"Sample #","Relative Time[s]","Flow linearized [Pa]","Temperature linearized [deg C]","Custom []"
"468807","2,342.9586","44.533","31.825","60.000"
"468808","2,342.9632","43.467","31.805","60.000"
"468809","2,342.9677","43.217","31.805","60.000"
"468810","2,342.9722","42.683","31.815","60.000"
"468811","2,342.9768","45.517","31.785","60.000"
"468812","2,342.9813","44.667","31.780","60.000"
"468813","2,342.9859","42.883","31.780","60.000"
"468814","2,342.9939","44.000","31.790","60.000"
"468815","2,343.0020","44.933","31.825","60.000"
"468816","2,343.0060","47.633","31.825","60.000"
"468817","2,343.0100","45.083","31.780","60.000"
"468818","2,343.0141","43.183","31.795","60.000"
"468819","2,343.0181","42.483","31.775","60.000"
"468820","2,343.0233","46.833","31.775","60.000"
"468821","2,343.0285","46.683","31.795","60.000"
"468822","2,343.0338","45.167","31.805","60.000"
"468823","2,343.0383","45.267","31.805","60.000"
"468824","2,343.0429","49.333","31.785","60.000"
"468825","2,343.0475","43.167","31.835","60.000"
"468826","2,343.0520","42.917","31.835","60.000"
"468827","2,343.0566","41.617","31.785","60.000"
"468828","2,343.0611","44.283","31.805","60.000"
"468829","2,343.0657","44.700","31.815","60.000"
"468830","2,343.0739","44.650","31.815","60.000"
"468831","2,343.0821","46.433","31.785","60.000"
"468832","2,343.0861","43.967","31.795","60.000"
"468833","2,343.0901","46.400","31.795","60.000"
"468834","2,343.0940","45.217","31.805","60.000"
"468835","2,343.0980","45.267","31.795","60.000"
"468836","2,343.1033","45.650","31.785","60.000"
"468837","2,343.1086","45.583","31.785","60.000"
"468838","2,343.1139","42.017","31.800","60.000"
"468839","2,343.1184","43.283","31.800","60.000"
"468840","2,343.1229","41.633","31.800","60.000"
"468841","2,343.1275","41.617","31.790","60.000"
"468842","2,343.1320","44.867","31.805","60.000"
"468843","2,343.1366","44.750","31.805","60.000"
"468844","2,343.1411","43.100","31.780","60.000"
"468845","2,343.1457","46.333","31.805","60.000"
"468846","2,343.1537","44.583","31.820","60.000"
"468847","2,343.1617","42.600","31.820","60.000"
"468848","2,343.1657","42.533","31.825","60.000"
"468849","2,343.1698","45.883","31.775","60.000"
"468850","2,343.1738","43.233","31.775","60.000"
"468851","2,343.1779","44.967","31.790","60.000"
"468852","2,343.1833","42.617","31.805","60.000"
"468853","2,343.1886","42.250","31.785","60.000"
"468854","2,343.1940","41.050","31.785","60.000"
"468855","2,343.1997","45.183","31.790","60.000"
"468856","2,343.2054","42.967","31.805","60.000"
"468857","2,343.2112","42.600","31.805","60.000"
"468858","2,343.2169","43.833","31.785","60.000"
"468859","2,343.2227","42.233","31.775","60.000"
"468860","2,343.2284","43.717","31.805","60.000"
"468861","2,343.2341","43.350","31.805","60.000"
"468862","2,343.2399","43.983","31.770","60.000"
"468863","2,343.2439","43.333","31.805","60.000"
"468864","2,343.2479","43.450","31.805","60.000"
"468865","2,343.2519","43.683","31.770","60.000"
"468866","2,343.2559","46.317","31.775","60.000"
"468867","2,343.2598","45.583","31.775","60.000"
"468868","2,343.2637","42.483","31.805","60.000"
"468869","2,343.2676","46.017","31.780","60.000"
"468870","2,343.2715","45.867","31.810","60.000"
"468871","2,343.2768","45.267","31.810","60.000"
"468872","2,343.2822","45.433","31.810","60.000"
"468873","2,343.2875","42.517","31.790","60.000"
"468874","2,343.2928","41.133","31.790","60.000"
"468875","2,343.2981","39.400","31.800","60.000"
"468876","2,343.3034","43.083","31.795","60.000"
"468877","2,343.3089","43.567","31.805","60.000"
"468878","2,343.3144","43.650","31.805","60.000"
"468879","2,343.3198","44.950","31.785","60.000"
"468880","2,343.3251","47.033","31.805","60.000"
"468881","2,343.3303","46.450","31.805","60.000"
"468882","2,343.3356","45.600","31.770","60.000"
"468883","2,343.3409","42.733","31.790","60.000"
"468884","2,343.3463","45.167","31.790","60.000"
"468885","2,343.3516","43.333","31.800","60.000"
"468886","2,343.3562","41.550","31.785","60.000"
"468887","2,343.3607","44.317","31.780","60.000"
"468888","2,343.3652","39.833","31.780","60.000"
"468889","2,343.3698","41.417","31.805","60.000"
"468890","2,343.3743","42.367","31.755","60.000"
"468891","2,343.3788","45.100","31.755","60.000"
"468892","2,343.3834","47.067","31.800","60.000"
"468893","2,343.3888","42.150","31.805","60.000"
"468894","2,343.3943","43.033","31.805","60.000"
"468895","2,343.3997","43.217","31.805","60.000"
"468896","2,343.4050","44.633","31.775","60.000"
"468897","2,343.4104","44.583","31.770","60.000"
"468898","2,343.4157","41.167","31.770","60.000"
"468899","2,343.4196","46.383","31.820","60.000"
"468900","2,343.4236","42.300","31.770","60.000"
"468901","2,343.4276","44.467","31.770","60.000"
"468902","2,343.4315","40.967","31.800","60.000"
"468903","2,343.4361","40.900","31.820","60.000"
"468904","2,343.4406","44.417","31.815","60.000"
"468905","2,343.4452","45.333","31.815","60.000"
"468906","2,343.4497","45.350","31.825","60.000"
"468907","2,343.4543","41.467","31.780","60.000"
"468908","2,343.4588","42.800","31.780","60.000"
"468909","2,343.4634","41.283","31.795","60.000"
"468910","2,343.4715","42.067","31.805","60.000"
"468911","2,343.4796","44.417","31.730","60.000"
"468912","2,343.4849","44.350","31.730","60.000"
"468913","2,343.4903","44.950","31.780","60.000"
"468914","2,343.4956","44.817","31.800","60.000"
"468915","2,343.4996","41.050","31.800","60.000"
"468916","2,343.5036","40.700","31.815","60.000"
"468917","2,343.5076","45.083","31.820","60.000"
"468918","2,343.5116","44.933","31.795","60.000"
"468919","2,343.5161","46.300","31.795","60.000"
"468920","2,343.5206","43.083","31.790","60.000"
"468921","2,343.5252","44.117","31.800","60.000"
"468922","2,343.5297","45.767","31.800","60.000"
"468923","2,343.5342","45.067","31.800","60.000"
"468924","2,343.5387","42.917","31.785","60.000"
"468925","2,343.5433","43.233","31.785","60.000"
"468926","2,343.5512","41.467","31.805","60.000"
"468927","2,343.5592","44.217","31.785","60.000"
"468928","2,343.5646","46.450","31.775","60.000"
"468929","2,343.5700","43.650","31.775","60.000"
"468930","2,343.5754","44.017","31.805","60.000"
"468931","2,343.5807","42.083","31.785","60.000"
"468932","2,343.5860","41.133","31.785","60.000"
"468933","2,343.5913","41.933","31.795","60.000"
"468934","2,343.5959","42.400","31.790","60.000"
"468935","2,343.6004","44.217","31.770","60.000"
"468936","2,343.6050","47.150","31.770","60.000"
"468937","2,343.6095","42.800","31.780","60.000"
"468938","2,343.6141","45.933","31.800","60.000"
"468939","2,343.6186","44.400","31.800","60.000"
"468940","2,343.6231","44.883","31.825","60.000"
"468941","2,343.6285","45.133","31.775","60.000"
"468942","2,343.6339","43.750","31.775","60.000"
"468943","2,343.6393","41.833","31.810","60.000"
"468944","2,343.6446","43.817","31.775","60.000"
"468945","2,343.6498","41.900","31.760","60.000"
"468946","2,343.6551","42.117","31.760","60.000"
"468947","2,343.6604","45.783","31.805","60.000"
"468948","2,343.6658","46.333","31.785","60.000"
"468949","2,343.6712","43.533","31.785","60.000"
"468950","2,343.6757","45.050","31.770","60.000"
"468951","2,343.6803","43.183","31.825","60.000"
"468952","2,343.6848","42.850","31.785","60.000"
"468953","2,343.6894","40.017","31.785","60.000"
"468954","2,343.6939","41.717","31.775","60.000"
"468955","2,343.6985","40.850","31.785","60.000"
"468956","2,343.7030","42.717","31.785","60.000"
"468957","2,343.7085","43.883","31.780","60.000"
"468958","2,343.7139","42.983","31.775","60.000"
"468959","2,343.7194","43.433","31.785","60.000"
"468960","2,343.7246","44.267","31.785","60.000"
"468961","2,343.7299","40.750","31.780","60.000"
"468962","2,343.7352","40.933","31.780","60.000"
"468963","2,343.7392","40.600","31.780","60.000"
"468964","2,343.7432","39.800","31.795","60.000"
"468965","2,343.7472","41.600","31.800","60.000"
"468966","2,343.7512","38.733","31.800","60.000"
"468967","2,343.7557","39.733","31.785","60.000"
"468968","2,343.7602","42.983","31.805","60.000"
"468969","2,343.7648","44.433","31.785","60.000"
"468970","2,343.7693","46.667","31.785","60.000"
"468971","2,343.7738","44.400","31.785","60.000"
"468972","2,343.7783","43.400","31.785","60.000"
"468973","2,343.7829","42.633","31.785","60.000"
"468974","2,343.7910","42.033","31.780","60.000"
"468975","2,343.7992","42.067","31.790","60.000"
"468976","2,343.8045","42.500","31.795","60.000"
"468977","2,343.8098","41.317","31.795","60.000"
"468978","2,343.8151","44.717","31.770","60.000"
"468979","2,343.8191","42.367","31.770","60.000"
"468980","2,343.8230","43.767","31.770","60.000"
"468981","2,343.8270","46.300","31.785","60.000"
"468982","2,343.8310","40.317","31.780","60.000"
"468983","2,343.8363","43.333","31.780","60.000"
"468984","2,343.8416","43.533","31.740","60.000"
"468985","2,343.8469","42.467","31.780","60.000"
"468986","2,343.8522","42.217","31.785","60.000"
"468987","2,343.8575","41.117","31.785","60.000"
"468988","2,343.8628","43.833","31.775","60.000"
"468989","2,343.8682","43.117","31.775","60.000"
"468990","2,343.8737","41.933","31.775","60.000"
"468991","2,343.8791","44.650","31.780","60.000"
"468992","2,343.8844","40.833","31.805","60.000"
"468993","2,343.8898","43.233","31.770","60.000"
"468994","2,343.8951","40.767","31.770","60.000"
"468995","2,343.8991","41.450","31.740","60.000"
"468996","2,343.9030","45.017","31.795","60.000"
"468997","2,343.9070","42.683","31.795","60.000"
"468998","2,343.9109","43.733","31.785","60.000"
"468999","2,343.9155","44.117","31.785","60.000"
"469000","2,343.9201","43.150","31.785","60.000"
"469001","2,343.9247","43.183","31.805","60.000"
"469002","2,343.9293","41.100","31.770","60.000"
"469003","2,343.9339","42.200","31.785","60.000"
"469004","2,343.9384","44.350","31.785","60.000"
"469005","2,343.9430","43.317","31.790","60.000"
"469006","2,343.9510","43.350","31.765","60.000"
"469007","2,343.9590","43.233","31.765","60.000"
"469008","2,343.9643","43.633","31.775","60.000"
"469009","2,343.9697","43.133","31.765","60.000"
"469010","2,343.9750","44.633","31.805","60.000"
"469011","2,343.9789","46.150","31.805","60.000"
"469012","2,343.9828","42.767","31.805","60.000"
"469013","2,343.9867","42.967","31.785","60.000"
"469014","2,343.9905","44.233","31.785","60.000"
"469015","2,343.9959","46.683","31.785","60.000"
"469016","2,344.0012","42.583","31.790","60.000"
"469017","2,344.0066","43.117","31.775","60.000"
"469018","2,344.0119","42.183","31.775","60.000"
"469019","2,344.0173","43.683","31.795","60.000"
"469020","2,344.0226","43.950","31.765","60.000"
"469021","2,344.0279","38.550","31.765","60.000"
"469022","2,344.0332","41.233","31.750","60.000"
"469023","2,344.0386","40.650","31.780","60.000"
"469024","2,344.0439","42.000","31.780","60.000"
"469025","2,344.0492","42.150","31.795","60.000"
"469026","2,344.0545","43.450","31.815","60.000"
"469027","2,344.0599","44.033","31.780","60.000"
"469028","2,344.0652","41.900","31.780","60.000"
"469029","2,344.0705","44.483","31.775","60.000"
"469030","2,344.0751","43.250","31.780","60.000"
"469031","2,344.0797","42.100","31.780","60.000"
"469032","2,344.0843","44.817","31.805","60.000"
"469033","2,344.0888","44.150","31.815","60.000"
"469034","2,344.0934","46.783","31.755","60.000"
"469035","2,344.0980","42.233","31.755","60.000"
"469036","2,344.1025","39.517","31.770","60.000"
"469037","2,344.1080","45.367","31.795","60.000"
"469038","2,344.1134","44.367","31.795","60.000"
"469039","2,344.1189","41.367","31.745","60.000"
"469040","2,344.1242","43.650","31.800","60.000"
"469041","2,344.1295","41.700","31.800","60.000"
"469042","2,344.1347","44.933","31.765","60.000"
"469043","2,344.1387","43.133","31.775","60.000"
"469044","2,344.1427","43.067","31.795","60.000"
"469045","2,344.1467","45.550","31.795","60.000"
"469046","2,344.1506","40.717","31.775","60.000"
"469047","2,344.1559","40.600","31.770","60.000"
"469048","2,344.1612","42.567","31.770","60.000"
"469049","2,344.1665","42.333","31.805","60.000"
"469050","2,344.1718","45.333","31.790","60.000"
"469051","2,344.1771","43.183","31.770","60.000"
"469052","2,344.1824","43.083","31.770","60.000"
"469053","2,344.1879","44.933","31.770","60.000"
"469054","2,344.1934","41.750","31.805","60.000"
"469055","2,344.1989","39.867","31.805","60.000"
"469056","2,344.2042","42.650","31.785","60.000"
"469057","2,344.2095","39.150","31.770","60.000"
"469058","2,344.2148","42.750","31.780","60.000"
"469059","2,344.2187","38.783","31.780","60.000"
"469060","2,344.2226","39.433","31.760","60.000"
"469061","2,344.2265","43.450","31.805","60.000"
"469062","2,344.2304","45.867","31.805","60.000"
"469063","2,344.2357","43.817","31.835","60.000"
"469064","2,344.2410","38.617","31.770","60.000"
"469065","2,344.2463","44.950","31.770","60.000"
"469066","2,344.2517","41.500","31.780","60.000"
"469067","2,344.2570","43.467","31.805","60.000"
"469068","2,344.2623","42.467","31.760","60.000"
"469069","2,344.2678","43.317","31.760","60.000"
"469070","2,344.2732","44.150","31.780","60.000"
"469071","2,344.2786","47.200","31.770","60.000"
"469072","2,344.2840","45.183","31.770","60.000"
"469073","2,344.2893","41.783","31.755","60.000"
"469074","2,344.2947","42.183","31.800","60.000"
"469075","2,344.2986","41.900","31.785","60.000"
"469076","2,344.3026","42.883","31.785","60.000"
"469077","2,344.3065","44.350","31.785","60.000"
"469078","2,344.3105","45.883","31.755","60.000"
"469079","2,344.3158","44.017","31.755","60.000"
"469080","2,344.3211","43.767","31.805","60.000"
"469081","2,344.3264","43.200","31.770","60.000"
"469082","2,344.3317","43.733","31.770","60.000"
"469083","2,344.3370","41.733","31.820","60.000"
"469084","2,344.3423","43.933","31.755","60.000"
"469085","2,344.3477","43.583","31.800","60.000"
"469086","2,344.3532","43.000","31.800","60.000"
"469087","2,344.3586","39.150","31.805","60.000"
"469088","2,344.3639","39.267","31.775","60.000"
"469089","2,344.3692","47.100","31.775","60.000"
"469090","2,344.3746","44.283","31.780","60.000"
"469091","2,344.3785","45.833","31.770","60.000"
"469092","2,344.3824","46.200","31.800","60.000"
"469093","2,344.3864","45.883","31.800","60.000"
"469094","2,344.3903","43.183","31.780","60.000"
"469095","2,344.3956","43.967","31.785","60.000"
"469096","2,344.4009","43.633","31.785","60.000"
"469097","2,344.4062","44.467","31.770","60.000"
"469098","2,344.4115","44.750","31.785","60.000"
"469099","2,344.4168","43.317","31.785","60.000"
"469100","2,344.4221","44.500","31.785","60.000"
"469101","2,344.4276","45.017","31.765","60.000"
"469102","2,344.4330","42.350","31.795","60.000"
"469103","2,344.4384","40.883","31.795","60.000"
"469104","2,344.4438","44.000","31.730","60.000"
"469105","2,344.4491","42.867","31.775","60.000"
"469106","2,344.4544","42.433","31.775","60.000"
"469107","2,344.4597","41.150","31.765","60.000"
"469108","2,344.4650","43.450","31.785","60.000"
"469109","2,344.4702","40.600","31.785","60.000"
"469110","2,344.4758","39.583","31.785","60.000"
"469111","2,344.4813","41.217","31.805","60.000"
"469112","2,344.4868","41.383","31.770","60.000"
"469113","2,344.4923","43.800","31.770","60.000"
"469114","2,344.4978","46.750","31.770","60.000"
"469115","2,344.5033","43.350","31.730","60.000"
"469116","2,344.5088","42.583","31.770","60.000"
"469117","2,344.5143","38.833","31.770","60.000"
"469118","2,344.5183","42.650","31.765","60.000"
"469119","2,344.5223","42.283","31.755","60.000"
"469120","2,344.5263","43.717","31.755","60.000"
"469121","2,344.5303","42.667","31.805","60.000"
"469122","2,344.5343","44.867","31.765","60.000"
"469123","2,344.5383","42.550","31.765","60.000"
"469124","2,344.5423","42.233","31.770","60.000"
"469125","2,344.5463","37.200","31.775","60.000"
"469126","2,344.5516","41.733","31.785","60.000"
"469127","2,344.5569","43.200","31.785","60.000"
"469128","2,344.5621","37.333","31.775","60.000"
"469129","2,344.5674","38.683","31.755","60.000"
"469130","2,344.5727","43.383","31.755","60.000"
"469131","2,344.5780","44.117","31.775","60.000"
"469132","2,344.5834","43.900","31.795","60.000"
"469133","2,344.5888","44.917","31.780","60.000"
"469134","2,344.5942","44.817","31.780","60.000"
"469135","2,344.5996","47.600","31.760","60.000"
"469136","2,344.6049","46.550","31.780","60.000"
"469137","2,344.6102","46.150","31.780","60.000"
"469138","2,344.6142","45.900","31.750","60.000"
"469139","2,344.6181","45.933","31.790","60.000"
"469140","2,344.6221","43.950","31.770","60.000"
"469141","2,344.6260","42.333","31.770","60.000"
"469142","2,344.6306","43.817","31.790","60.000"
"469143","2,344.6351","42.000","31.775","60.000"
"469144","2,344.6397","43.567","31.775","60.000"
"469145","2,344.6442","43.983","31.760","60.000"
"469146","2,344.6488","47.633","31.765","60.000"
"469147","2,344.6533","45.450","31.765","60.000"
"469148","2,344.6579","43.483","31.760","60.000"
"469149","2,344.6660","47.333","31.775","60.000"
"469150","2,344.6742","42.900","31.750","60.000"
"469151","2,344.6795","45.950","31.750","60.000"
"469152","2,344.6848","45.850","31.750","60.000"
"469153","2,344.6901","44.350","31.770","60.000"
"469154","2,344.6941","45.917","31.770","60.000"
"469155","2,344.6981","46.750","31.760","60.000"
"469156","2,344.7020","44.483","31.755","60.000"
"469157","2,344.7060","42.633","31.770","60.000"
"469158","2,344.7105","44.150","31.770","60.000"
"469159","2,344.7151","47.000","31.795","60.000"
"469160","2,344.7196","45.017","31.750","60.000"
"469161","2,344.7241","44.317","31.750","60.000"
"469162","2,344.7287","45.033","31.765","60.000"
"469163","2,344.7332","48.017","31.785","60.000"
"469164","2,344.7378","44.400","31.785","60.000"
"469165","2,344.7459","44.683","31.785","60.000"
"469166","2,344.7540","46.633","31.780","60.000"
"469167","2,344.7594","42.150","31.755","60.000"
"469168","2,344.7647","42.833","31.755","60.000"
"469169","2,344.7700","40.767","31.815","60.000"
"469170","2,344.7740","45.150","31.755","60.000"
"469171","2,344.7779","42.017","31.755","60.000"
"469172","2,344.7819","40.867","31.745","60.000"
"469173","2,344.7858","45.467","31.770","60.000"
"469174","2,344.7904","42.300","31.760","60.000"
"469175","2,344.7949","43.300","31.760","60.000"
"469176","2,344.7995","44.600","31.775","60.000"
"469177","2,344.8040","42.633","31.795","60.000"
"469178","2,344.8086","42.200","31.795","60.000"
"469179","2,344.8131","43.600","31.765","60.000"
"469180","2,344.8177","40.067","31.770","60.000"
"469181","2,344.8257","43.033","31.770","60.000"
"469182","2,344.8337","42.667","31.785","60.000"
"469183","2,344.8390","42.883","31.760","60.000"
"469184","2,344.8443","40.750","31.765","60.000"
"469185","2,344.8496","41.350","31.765","60.000"
"469186","2,344.8536","41.617","31.765","60.000"
"469187","2,344.8577","42.583","31.770","60.000"
"469188","2,344.8617","42.750","31.770","60.000"
"469189","2,344.8657","50.083","31.790","60.000"
"469190","2,344.8703","47.700","31.770","60.000"
"469191","2,344.8748","41.817","31.750","60.000"
"469192","2,344.8794","42.267","31.750","60.000"
"469193","2,344.8839","40.183","31.785","60.000"
"469194","2,344.8885","42.767","31.765","60.000"
"469195","2,344.8930","43.117","31.765","60.000"
"469196","2,344.8976","40.800","31.765","60.000"
"469197","2,344.9057","42.817","31.750","60.000"
"469198","2,344.9138","41.117","31.770","60.000"
"469199","2,344.9192","44.017","31.770","60.000"
"469200","2,344.9245","45.567","31.730","60.000"
"469201","2,344.9298","44.150","31.735","60.000"
"469202","2,344.9338","43.767","31.735","60.000"
"469203","2,344.9378","41.483","31.760","60.000"
"469204","2,344.9418","45.150","31.765","60.000"
"469205","2,344.9458","44.600","31.765","60.000"
"469206","2,344.9503","45.050","31.770","60.000"
"469207","2,344.9548","44.550","31.760","60.000"
"469208","2,344.9593","46.217","31.750","60.000"
"469209","2,344.9639","42.383","31.750","60.000"
"469210","2,344.9684","42.300","31.785","60.000"
"469211","2,344.9729","40.717","31.775","60.000"
"469212","2,344.9774","44.300","31.775","60.000"
"469213","2,344.9856","43.983","31.765","60.000"
"469214","2,344.9937","47.167","31.780","60.000"
"469215","2,344.9990","43.083","31.790","60.000"
"469216","2,345.0044","41.750","31.790","60.000"
"469217","2,345.0097","44.867","31.770","60.000"
"469218","2,345.0137","43.600","31.785","60.000"
"469219","2,345.0176","41.783","31.785","60.000"
"469220","2,345.0216","40.967","31.805","60.000"
"469221","2,345.0255","43.067","31.780","60.000"
"469222","2,345.0301","43.517","31.780","60.000"
"469223","2,345.0346","44.083","31.770","60.000"
"469224","2,345.0391","38.850","31.770","60.000"
"469225","2,345.0437","43.017","31.745","60.000"
"469226","2,345.0482","46.333","31.745","60.000"
"469227","2,345.0528","43.717","31.760","60.000"
"469228","2,345.0573","41.150","31.735","60.000"
"469229","2,345.0654","44.717","31.735","60.000"
"469230","2,345.0734","44.133","31.720","60.000"
"469231","2,345.0788","42.367","31.715","60.000"
"469232","2,345.0841","41.500","31.785","60.000"
"469233","2,345.0894","42.100","31.785","60.000"
"469234","2,345.0934","42.100","31.770","60.000"
"469235","2,345.0974","42.467","31.750","60.000"
"469236","2,345.1014","44.217","31.750","60.000"
"469237","2,345.1054","44.450","31.785","60.000"
"469238","2,345.1100","42.417","31.755","60.000"
"469239","2,345.1145","44.567","31.790","60.000"
"469240","2,345.1191","44.300","31.790","60.000"
"469241","2,345.1236","44.083","31.750","60.000"
"469242","2,345.1282","45.633","31.765","60.000"
"469243","2,345.1327","43.833","31.765","60.000"
"469244","2,345.1373","45.683","31.765","60.000"
"469245","2,345.1454","41.567","31.780","60.000"
"469246","2,345.1535","41.950","31.780","60.000"
"469247","2,345.1588","45.533","31.755","60.000"
"469248","2,345.1642","44.583","31.770","60.000"
"469249","2,345.1695","44.367","31.795","60.000"
"469250","2,345.1735","42.950","31.795","60.000"
"469251","2,345.1774","43.633","31.705","60.000"
"469252","2,345.1814","41.750","31.775","60.000"
"469253","2,345.1853","43.067","31.775","60.000"
"469254","2,345.1898","42.250","31.750","60.000"
"469255","2,345.1944","44.450","31.735","60.000"
"469256","2,345.1989","40.883","31.770","60.000"
"469257","2,345.2035","41.617","31.770","60.000"
"469258","2,345.2080","41.150","31.770","60.000"
"469259","2,345.2126","41.417","31.750","60.000"
"469260","2,345.2171","43.767","31.750","60.000"
"469261","2,345.2251","43.200","31.770","60.000"
"469262","2,345.2331","44.567","31.800","60.000"
"469263","2,345.2384","45.183","31.800","60.000"
"469264","2,345.2437","44.900","31.770","60.000"
"469265","2,345.2491","45.450","31.745","60.000"
"469266","2,345.2532","47.000","31.785","60.000"
"469267","2,345.2572","47.083","31.785","60.000"
"469268","2,345.2613","45.883","31.760","60.000"
"469269","2,345.2654","45.950","31.790","60.000"
"469270","2,345.2699","44.183","31.790","60.000"
"469271","2,345.2744","47.267","31.770","60.000"
"469272","2,345.2790","43.400","31.770","60.000"
"469273","2,345.2835","42.967","31.765","60.000"
"469274","2,345.2880","41.683","31.765","60.000"
"469275","2,345.2925","43.450","31.765","60.000"
"469276","2,345.2970","40.667","31.755","60.000"
"469277","2,345.3052","37.883","31.755","60.000"
"469278","2,345.3133","42.350","31.785","60.000"
"469279","2,345.3186","43.717","31.750","60.000"
"469280","2,345.3240","46.717","31.730","60.000"
"469281","2,345.3293","46.400","31.730","60.000"
"469282","2,345.3333","45.867","31.790","60.000"
"469283","2,345.3373","44.350","31.775","60.000"
"469284","2,345.3413","43.383","31.775","60.000"
"469285","2,345.3453","41.817","31.745","60.000"
"469286","2,345.3498","40.150","31.750","60.000"
"469287","2,345.3543","43.650","31.750","60.000"
"469288","2,345.3588","43.750","31.790","60.000"
"469289","2,345.3634","44.467","31.730","60.000"
"469290","2,345.3679","43.883","31.745","60.000"
"469291","2,345.3724","45.550","31.745","60.000"
"469292","2,345.3769","43.183","31.750","60.000"
"469293","2,345.3851","44.700","31.765","60.000"
"469294","2,345.3932","46.000","31.765","60.000"
"469295","2,345.3985","43.250","31.770","60.000"
"469296","2,345.4039","45.867","31.815","60.000"
"469297","2,345.4092","42.533","31.770","60.000"
"469298","2,345.4132","44.033","31.770","60.000"
"469299","2,345.4172","44.550","31.750","60.000"
"469300","2,345.4212","43.567","31.770","60.000"
"469301","2,345.4252","47.350","31.770","60.000"
"469302","2,345.4297","41.100","31.730","60.000"
"469303","2,345.4342","40.683","31.755","60.000"
